retweetCount,favoriteCount,text,time
3651,22405,"Vamos preparar bem o Mundial e ajudar as vítimas dos incêndios. Bom jogo, malta! #tudoporportugal",2017-11-10T18:11:35.000Z
11221,67893,Special guest today in training ground 👌👌👌❤️,2017-11-10T12:24:07.000Z
5306,32118,#CR7Junior IS LIVE 👖 ⚽ Now available on 👉 http://CR7.com  @CR7limitless #PressPlay #CR7Denim,2017-11-09T12:00:07.000Z
6046,53212,Like father like son 😜 We are excited to launch our #CR7Junior denim collection. Now live on 👉 http://CR7.com  #PressPlay #CR7Denim,2017-11-08T18:30:01.000Z
11274,107881,Work done ✈️👌👌👌,2017-11-07T20:08:12.000Z
2096,20135,"Building projects with green steel is a real innovation. @egyptian_steel
@AhmedAbuHashima",2017-11-06T18:00:03.000Z
4381,36671,"💎👌⚽  
Chapter 5: available on http://nike.com/CR7   
#mercurial #CR7 @nikefootball",2017-11-06T12:33:42.000Z
1484,12495,"Learn the secrets to my success at 
https://youtu.be/0fXyD7twB-M   #ROCliveLifeLoud #headphones",2017-11-03T18:46:06.000Z
3340,39302,CLEAR Men: World’s #1 Men Shampoo ☝🏼,2017-11-03T12:00:01.000Z
13177,115072,✌️,2017-11-02T21:17:28.000Z
3069,32539,"Loving my new CR7 woven shirt 👔Styles for everyday. http://CR7.com  💪@CR7Limitless
#CR7Denim
http://www.cr7.com ",2017-10-30T18:00:04.000Z
11861,93738,Positive mind 👌✌️,2017-10-30T13:07:51.000Z
2552,24016,"I vote for my hometown, Madeira, as the world’s leading Island Destination 2017.  Are you with me? 
VOTE HERE: http://bit.ly/voteformadeira   😉",2017-10-28T10:00:03.000Z
3812,38420,Camo style! 👍🏼 @CR7Underwear #CR7Underwear,2017-10-27T17:29:06.000Z
4686,50707,Good times at my hotel in Lisbon!  #PestanaCR7Lisbon,2017-10-27T11:30:04.000Z
27401,162028,"Ensinando aos meus 2 filhos com talento, trabalho e dedicação e a única forma de chegar a ser o número 1❤️❤️🇵🇹",2017-10-25T18:09:18.000Z
61221,236174,Not bad 11 😉😉😉😉😂😂,2017-10-25T14:37:04.000Z
23854,187725,❤️,2017-10-24T19:10:21.000Z
25342,154850,❤️❤️❤️❤️❤️❤️❤️,2017-10-24T09:37:24.000Z
67524,214288,"Amazing feeling to have won this award again. Want to dedicate to my family, my friends, my teammates and coaches from both Real Madrid and Portuguese NT and everyone who supported me.",2017-10-23T21:18:14.000Z
6901,61670,Here we go again!!👍🏽,2017-10-23T14:52:13.000Z
